<jemalloc>: option background_thread currently supports pthread only
           _                 _    
  __ _  __| |_ __ __ _ _ __ | |_  
 / _` |/ _` | '__/ _` | '_ \| __| 
| (_| | (_| | | | (_| | | | | |_  
 \__, |\__,_|_|  \__,_|_| |_|\__| 
    |_|                           

Version: 1.17.1, build: eabee371
Access web UI at http://localhost:6333/dashboard

2026-04-25T12:09:43.540486Z  WARN qdrant::settings: Config file not found: config/config
2026-04-25T12:09:43.541004Z  WARN qdrant::settings: Config file not found: config/development
2026-04-25T12:09:43.542069Z  INFO storage::content_manager::consensus::persistent: Initializing new raft state at /tmp/qdrant-bench-4ySGj1/raft_state.json
2026-04-25T12:09:43.585465Z  INFO qdrant: Distributed mode disabled
2026-04-25T12:09:43.585910Z  INFO qdrant: Telemetry reporting enabled, id: c79bdff7-8b4f-416c-8241-1430320de947
2026-04-25T12:09:43.593010Z  WARN qdrant::actix::web_ui: Static content folder for Web UI './static' does not exist
2026-04-25T12:09:43.593046Z  INFO qdrant::actix: REST transport settings: keep_alive=5s, client_request_timeout=5s, client_disconnect_timeout=5s
2026-04-25T12:09:43.593053Z  INFO qdrant::actix: TLS disabled for REST API
2026-04-25T12:09:43.593606Z  INFO qdrant::actix: Qdrant HTTP listening on 6333
2026-04-25T12:09:43.593642Z  INFO actix_server::builder: starting 15 workers
2026-04-25T12:09:43.593673Z  INFO actix_server::server: Actix runtime found; starting in Actix runtime
2026-04-25T12:09:43.593677Z  INFO actix_server::server: starting service: "actix-web-service-0.0.0.0:6333", workers: 15, listening on: 0.0.0.0:6333
2026-04-25T12:09:43.594887Z  INFO qdrant::tonic: Qdrant gRPC listening on 6334
2026-04-25T12:09:43.594907Z  INFO qdrant::tonic: TLS disabled for gRPC API
2026-04-25T12:09:53.808520Z  INFO actix_web::middleware::logger: 127.0.0.1 "GET /collections HTTP/1.1" 200 61 "-" "Python-urllib/3.12" 0.000480
2026-04-25T12:09:53.822442Z  INFO actix_web::middleware::logger: 127.0.0.1 "GET /collections HTTP/1.1" 200 55 "-" "Python-urllib/3.12" 0.000071
2026-04-25T12:10:03.458863Z  INFO actix_web::middleware::logger: 127.0.0.1 "GET /collections/auto_memory HTTP/1.1" 404 92 "-" "Python-urllib/3.12" 0.000702
2026-04-25T12:10:03.483371Z  INFO storage::content_manager::toc::collection_meta_ops: Creating collection auto_memory
2026-04-25T12:10:04.267122Z  INFO actix_web::middleware::logger: 127.0.0.1 "PUT /collections/auto_memory HTTP/1.1" 200 47 "-" "Python-urllib/3.12" 0.789080
2026-04-25T12:10:04.271940Z  INFO actix_web::middleware::logger: 127.0.0.1 "GET /collections/auto_memory_queue HTTP/1.1" 404 93 "-" "Python-urllib/3.12" 0.000051
2026-04-25T12:10:04.275891Z  INFO storage::content_manager::toc::collection_meta_ops: Creating collection auto_memory_queue
2026-04-25T12:10:05.011339Z  INFO actix_web::middleware::logger: 127.0.0.1 "PUT /collections/auto_memory_queue HTTP/1.1" 200 48 "-" "Python-urllib/3.12" 0.735545
2026-04-25T12:10:05.021765Z  INFO actix_web::middleware::logger: 127.0.0.1 "GET /collections/auto_memory_reflections HTTP/1.1" 404 101 "-" "Python-urllib/3.12" 0.000168
