iter	Passed	Remaining
0	0	42
1	0	36
2	0	34
3	0	32
4	0	31
5	0	30
6	1	30
7	1	30
8	1	30
9	1	29
10	1	29
11	1	29
12	2	28
13	2	28
14	2	28
15	2	28
16	2	27
17	2	27
18	2	27
19	3	27
20	3	26
21	3	27
22	3	26
23	3	26
24	3	25
25	3	25
26	3	24
27	3	24
28	4	23
29	4	23
30	4	22
31	4	22
32	4	22
33	4	21
34	4	21
35	4	21
36	4	20
37	4	20
38	4	20
39	5	20
40	5	19
41	5	19
42	5	19
43	5	19
44	5	18
45	5	18
46	5	18
47	5	18
48	5	17
49	5	17
50	5	17
51	6	17
52	6	17
53	6	16
54	6	16
55	6	16
56	6	16
57	6	16
58	6	16
59	6	15
60	6	15
61	6	15
62	7	15
63	7	15
64	7	15
65	7	14
66	7	14
67	7	14
68	7	14
69	7	14
70	7	14
71	7	14
72	7	13
73	8	13
74	8	13
75	8	13
76	10	17
77	10	17
78	11	16
79	11	16
80	11	16
81	13	19
82	13	19
83	17	24
84	17	23
85	17	23
86	17	23
87	17	22
88	17	22
89	18	22
90	18	21
91	18	21
92	18	21
93	18	20
94	18	20
95	18	20
96	18	19
97	18	19
98	18	19
99	18	18
100	19	18
101	19	18
102	19	18
103	19	17
104	19	17
105	19	17
106	19	16
107	19	16
108	19	16
109	19	16
110	19	15
111	20	15
112	20	15
113	20	15
114	20	14
115	20	14
116	20	14
117	20	14
118	20	14
119	20	13
120	20	13
121	20	13
122	21	13
123	21	12
124	21	12
125	21	12
126	21	12
127	21	12
128	21	11
129	21	11
130	21	11
131	21	11
132	21	11
133	22	10
134	22	10
135	22	10
136	22	10
137	22	10
138	22	9
139	22	9
140	22	9
141	22	9
142	22	9
143	23	8
144	23	8
145	23	8
146	23	8
147	23	8
148	23	8
149	23	7
150	23	7
151	23	7
152	23	7
153	23	7
154	24	6
155	24	6
156	24	6
157	24	6
158	24	6
159	24	6
160	24	5
161	24	5
162	24	5
163	24	5
164	24	5
165	24	5
166	25	4
167	25	4
168	25	4
169	25	4
170	25	4
171	25	4
172	26	4
173	26	3
174	26	3
175	34	4
176	34	4
177	34	4
178	35	4
179	35	3
180	35	3
181	35	3
182	35	3
183	35	3
184	35	2
185	35	2
186	36	2
187	36	2
188	36	2
189	36	1
190	37	1
191	37	1
192	37	1
193	37	1
194	37	0
195	37	0
196	38	0
197	38	0
198	38	0
199	38	0
