n_docs,dim,M,ef_construct,ef_search,quant,engine_type,recall_at_10,qps,source
168438,384,16,64,64,pq,ivf_pq,0.6033,247.71079502446193,bench/results/industry-2026-04-26/summary.json
168438,384,16,64,64,sq,hnsw,0.8619000000000001,176.33607045143282,bench/results/industry-2026-04-26/summary.json
20000,384,16,64,64,none,hnsw,1.0,92.95284214472042,bench/results/industry-2026-04-26/summary.json
20000,384,16,128,128,none,hnsw,1.0,86.16989265475864,bench/results/industry-2026-04-26/summary.json
168438,384,16,64,64,none,brute,1.0,4.266433358733153,bench/results/industry-2026-04-26/summary.json
168438,384,16,64,64,binary,binary,0.24389999999999998,1100.217474708576,bench/results/industry-2026-04-26/summary.json
168438,384,16,64,64,binary,binary,0.2428,832.0236796199466,bench/results/industry-2026-04-26/summary.json
168438,384,16,64,64,none,hnsw,0.9236000000000001,4852.764713391983,bench/results/industry-2026-04-26/summary.json
168438,384,16,128,128,none,hnsw,0.9297000000000001,4017.2413426427197,bench/results/industry-2026-04-26/summary.json
10000,128,8,32,32,none,hnsw,0.47495,17841.77,synthetic
10000,128,8,64,64,none,hnsw,0.72432,8920.88,synthetic
10000,128,8,128,128,none,hnsw,0.924,4460.44,synthetic
10000,128,8,256,256,none,hnsw,0.99422,2230.22,synthetic
10000,128,8,512,512,none,hnsw,0.9999,1115.11,synthetic
10000,128,12,32,32,none,hnsw,0.61954,20149.55,synthetic
10000,128,12,64,64,none,hnsw,0.85525,10074.77,synthetic
10000,128,12,128,128,none,hnsw,0.97905,5037.39,synthetic
10000,128,12,256,256,none,hnsw,0.99956,2518.69,synthetic
10000,128,12,512,512,none,hnsw,0.9999,1259.35,synthetic
10000,128,16,32,32,none,hnsw,0.72432,21965.79,synthetic
10000,128,16,64,64,none,hnsw,0.924,10982.9,synthetic
10000,128,16,128,128,none,hnsw,0.99422,5491.45,synthetic
10000,128,16,256,256,none,hnsw,0.9999,2745.72,synthetic
10000,128,16,512,512,none,hnsw,0.9999,1372.86,synthetic
10000,128,24,32,32,none,hnsw,0.85525,24807.0,synthetic
10000,128,24,64,64,none,hnsw,0.97905,12403.5,synthetic
10000,128,24,128,128,none,hnsw,0.99956,6201.75,synthetic
10000,128,24,256,256,none,hnsw,0.9999,3100.88,synthetic
10000,128,24,512,512,none,hnsw,0.9999,1550.44,synthetic
10000,128,32,32,32,none,hnsw,0.924,27043.06,synthetic
10000,128,32,64,64,none,hnsw,0.99422,13521.53,synthetic
10000,128,32,128,128,none,hnsw,0.9999,6760.77,synthetic
10000,128,32,256,256,none,hnsw,0.9999,3380.38,synthetic
10000,128,32,512,512,none,hnsw,0.9999,1690.19,synthetic
10000,128,48,32,32,none,hnsw,0.97905,30541.0,synthetic
10000,128,48,64,64,none,hnsw,0.99956,15270.5,synthetic
10000,128,48,128,128,none,hnsw,0.9999,7635.25,synthetic
10000,128,48,256,256,none,hnsw,0.9999,3817.63,synthetic
10000,128,48,512,512,none,hnsw,0.9999,1908.81,synthetic
10000,256,8,32,32,none,hnsw,0.47495,12616.04,synthetic
10000,256,8,64,64,none,hnsw,0.72432,6308.02,synthetic
10000,256,8,128,128,none,hnsw,0.924,3154.01,synthetic
10000,256,8,256,256,none,hnsw,0.99422,1577.0,synthetic
10000,256,8,512,512,none,hnsw,0.9999,788.5,synthetic
10000,256,12,32,32,none,hnsw,0.61954,14247.88,synthetic
10000,256,12,64,64,none,hnsw,0.85525,7123.94,synthetic
10000,256,12,128,128,none,hnsw,0.97905,3561.97,synthetic
10000,256,12,256,256,none,hnsw,0.99956,1780.99,synthetic
10000,256,12,512,512,none,hnsw,0.9999,890.49,synthetic
10000,256,16,32,32,none,hnsw,0.72432,15532.16,synthetic
10000,256,16,64,64,none,hnsw,0.924,7766.08,synthetic
10000,256,16,128,128,none,hnsw,0.99422,3883.04,synthetic
10000,256,16,256,256,none,hnsw,0.9999,1941.52,synthetic
10000,256,16,512,512,none,hnsw,0.9999,970.76,synthetic
10000,256,24,32,32,none,hnsw,0.85525,17541.2,synthetic
10000,256,24,64,64,none,hnsw,0.97905,8770.6,synthetic
