engine,N,ingest_s,query_p50_ms,query_p95_ms,query_p99_ms,disk_mb,rss_delta_mb,ok,note
Synapse v2,1000,0.229293333,0.18737499999999999,0.194375,0.208,1.851392,0.0,True,in-proc Rust via subprocess; sha-derived vecs
sqlite-vec,1000,0.07141645898809657,0.20527098968159407,0.3145420050714165,0.4904580127913505,1.626112,27.443199999999997,True,
Chroma,1000,0.05492987498291768,0.2615830017020926,0.31712499912828207,2.5931670097634196,4.07796,51.26553600000001,True,
Synapse v2,10000,0.850265542,0.24891699999999997,0.26933399999999996,0.322041,17.788928,0.0,True,in-proc Rust via subprocess; sha-derived vecs
sqlite-vec,10000,0.7409147500002291,2.150291998987086,2.320624975254759,2.7651670097839087,16.003072,165.363712,True,
Chroma,10000,0.5296238749870099,0.3816249954979867,0.5032919871155173,1.2677499908022583,28.896048,95.092736,True,
Synapse v2,100000,3.620569166,0.247417,0.264459,0.29120799999999997,174.301184,0.0,True,in-proc Rust via subprocess; sha-derived vecs
sqlite-vec,100000,7.7177172909723595,23.910041491035372,24.442499998258427,24.732374993618578,156.606464,1484.210176,True,
Chroma,100000,10.130732874997193,0.6170625129016116,0.7490419957321137,1.8701249791774899,195.392296,350.53567999999996,True,
Synapse v2,1000000,41.5736165,0.258292,0.281292,0.300209,1740.558336,0.0,True,in-proc Rust via subprocess; sha-derived vecs
sqlite-vec,1000000,81.93631925000227,242.88097899989225,271.8382499879226,274.38829198945314,1562.062848,14676.262912000002,True,
Chroma,1000000,164.13816962498822,0.5312080029398203,0.6284169794525951,1.2764999992214143,1865.184828,3222.3395839999976,True,
