engine,N,ingest_s,query_p50_ms,query_p95_ms,query_p99_ms,disk_mb,rss_delta_mb,ok,note
sqlite_vec,1000,0,0,0,0,0,0,False,runner-err: No module named 'sqlite_vec'
DuckDB+VSS,1000,2.1513749999867287,5.938437505392358,12.994207994779572,41.08841699780896,3.682304,192.528384,True,
LanceDB,1000,0.02238008298445493,7.684103999054059,21.779417002107948,101.42858399194665,1.545322,50.937855999999954,True,
Qdrant in-mem,1000,0.27564816700760275,1.3476250023813918,3.7882920005358756,7.517000020015985,0,26.558464000000015,True,"in-mem, no disk"
chroma,1000,0,0,0,0,0,0,False,runner-err: `BaseSettings` has been moved to the `pydantic-settings` package. See https://docs.pydantic.dev/2.12/migration/#basesett
sqlite_vec,10000,0,0,0,0,0,0,False,runner-err: No module named 'sqlite_vec'
DuckDB+VSS,10000,33.01596858401899,45.69595800421666,94.23199997399934,181.71366601018235,30.94528,248.2176,True,
LanceDB,10000,0.3156508340034634,20.499708494753577,147.8235419781413,353.465166001115,15.441329,110.52646400000003,True,
Qdrant in-mem,10000,5.847747457999503,8.065395493758842,23.955707991262898,44.26324999076314,0,94.50291199999992,True,"in-mem, no disk"
chroma,10000,0,0,0,0,0,0,False,runner-err: `BaseSettings` has been moved to the `pydantic-settings` package. See https://docs.pydantic.dev/2.12/migration/#basesett
sqlite_vec,100000,0,0,0,0,0,0,False,runner-err: No module named 'sqlite_vec'
